Grant Name	Sponsor	Link	Open Date	Deadline	Status	Relevance	EQORE Fit	Ease of Use	Match %	Opp ID	Opportunity Number
EDA FY25 Disaster Supplemental (EDA-DISASTER-2025)	Economic Development Administration	https://www.grants.gov/search-results-detail/359225	06/04/2025		posted	0.0	3.0	3.0	20.0	359225	EDA-DISASTER-2025
TECHGATE (DFOP0017381)	Bureau of Cyberspace and Digital Policy	https://www.grants.gov/search-results-detail/360408	08/29/2025	09/02/2025	posted	0.0	3.0	1.0		360408	DFOP0017381
Securing Fair and Reliable Critical Mineral Supply Chains (FOA-ILAB-25-15)	Bureau of International Labor Affairs	https://www.grants.gov/search-results-detail/360111	08/27/2025	09/26/2025	posted	0.5	3.0	2.0		360111	FOA-ILAB-25-15
FAA Aviation Research Grants Program (20-01)	DOT - FAA Aviation Research Grants	https://www.grants.gov/search-results-detail/328902	09/08/2020	09/07/2027	posted	0.5	4.0	5.0	20.0	328902	20-01
American Prosperity:  Foreign Investment Readiness Program (PAS-JOR-FY25-006)	U.S. Mission to Jordan	https://www.grants.gov/search-results-detail/360185	07/31/2025	09/01/2025	posted	0.0	3.0	1.0		360185	PAS-JOR-FY25-006
Pacific Regional Partnership Intermediary Agreement (FA9453-23-R-001)	Air Force -- Research Lab	https://www.grants.gov/search-results-detail/346937	03/17/2023		forecasted	1.0	3.0	4.0		346937	FA9453-23-R-001
Zimbabwean-U.S. Program for Academic Collaborations (ZUPAC) (AF-HAR-FY23-07)	U.S. Mission to Zimbabwe	https://www.grants.gov/search-results-detail/344807	12/08/2022		forecasted	0.0	3.0	4.0		344807	AF-HAR-FY23-07
Advancing Youth Activism and Engagement FY2023 (TIRYOUTHFY23)	U.S. Mission to Albania	https://www.grants.gov/search-results-detail/348303	05/23/2023		forecasted	0.0	3.0	4.0		348303	TIRYOUTHFY23
Climate Hackathon in Northern Japan (SAPPORO-PAS-FY22-01-02)	U.S. Mission to Japan	https://www.grants.gov/search-results-detail/338143	02/18/2022		forecasted	0.5	3.0	4.0		338143	SAPPORO-PAS-FY22-01-02
Tribal Injury Prevention Cooperative Agreement Program (HHS-2026-IHS-IPP-0001)	Indian Health Service	https://www.grants.gov/search-results-detail/360077	07/21/2025	11/13/2025	posted	0.0	3.0	4.0		360077	HHS-2026-IHS-IPP-0001
